1801,7.267146
8215,7.349386
8018,7.471114
8275,7.54803
8341,7.629967
8261,7.710069
8216,7.826891
8213,7.907628
8231,7.988741
8229,8.069229
8223,8.149505
8219,8.270116
8222,8.354197
8238,8.429287
8232,8.507723
8225,8.629458
8234,8.708805
8238,8.790218
8227,8.867773
8224,8.987766
8219,9.06753
8216,9.147264
8215,9.229537
8219,9.350596
8220,9.427799
8220,9.509491
8217,9.590402
8212,9.668013
8206,9.789443
8206,9.872146
8202,9.949926
8202,10.02824
8206,10.14693
8211,10.22917
8210,10.30685
8209,10.3878
8207,10.50795
8198,10.58923
8192,10.66824
7937,10.747
8191,10.86767
8447,10.94987
8193,11.02849
8195,11.1081
8195,11.1874
8193,11.30935
8192,11.3876
8192,11.47122
7936,11.54923
8191,11.66784
8189,11.7492
8187,11.82714
8186,11.90838
8186,12.02978
8185,12.11161
8184,12.18744
8182,12.27077
8184,12.39078
8188,12.46935
8190,12.54736
8191,12.62902
8188,12.70887
8186,12.82837
8181,12.9087
8175,12.98858
8175,13.06946
8177,13.18747
8177,13.26863
8177,13.36117
8179,13.42693
8181,13.54898
8179,13.63061
8178,13.70828
8180,13.78782
8179,13.90926
8176,13.98707
8176,14.068
8176,14.14922
8174,14.22867
8172,14.39054
8169,14.42948
8172,14.50807
8176,14.58979
8178,14.70914
8178,14.78849
8177,14.86831
8176,14.98715
8174,15.10992
8174,15.14999
8169,15.22856
